TIME_FOR ********** TIMES **********
TIME_FOR proc 1
TIME_FOR item 10
TIME_FOR parse 1.99
TIME_FOR distance 0.039
TIME_FOR cluster 0.007
TIME_FOR _prepare_new_doc 2.21
TIME_FOR classify 2.236
TIME_FOR classify_svm 0.125
TIME_FOR process 4.403
TIME_FOR ********** TIMES **********
TIME_FOR proc 2
TIME_FOR item 10
TIME_FOR parse 2.088
TIME_FOR distance 0.035
TIME_FOR cluster 0.007
TIME_FOR _prepare_new_doc 2.276
TIME_FOR classify 2.299
TIME_FOR classify_svm 0.074
TIME_FOR process 4.508
TIME_FOR ********** TIMES **********
TIME_FOR proc 3
TIME_FOR item 10
TIME_FOR parse 1.987
TIME_FOR distance 0.036
TIME_FOR cluster 0.01
TIME_FOR _prepare_new_doc 2.355
TIME_FOR classify 2.381
TIME_FOR classify_svm 0.053
TIME_FOR process 4.475
TIME_FOR ********** TIMES **********
TIME_FOR proc 4
TIME_FOR item 10
TIME_FOR parse 2.152
TIME_FOR distance 0.033
TIME_FOR cluster 0.016
TIME_FOR _prepare_new_doc 2.27
TIME_FOR classify 2.295
TIME_FOR classify_svm 0.067
TIME_FOR process 4.568
TIME_FOR ********** TIMES **********
TIME_FOR proc 5
TIME_FOR item 10
TIME_FOR parse 2.454
TIME_FOR distance 0.032
TIME_FOR cluster 0.013
TIME_FOR _prepare_new_doc 2.102
TIME_FOR classify 2.126
TIME_FOR classify_svm 0.06
TIME_FOR process 4.69
TIME_FOR ********** TIMES **********
TIME_FOR proc 6
TIME_FOR item 10
TIME_FOR parse 3.145
TIME_FOR distance 0.033
TIME_FOR cluster 0.015
TIME_FOR _prepare_new_doc 2.14
TIME_FOR classify 2.165
TIME_FOR classify_svm 0.051
TIME_FOR process 5.414
TIME_FOR ********** TIMES **********
TIME_FOR proc 7
TIME_FOR item 10
TIME_FOR parse 3.547
TIME_FOR distance 0.034
TIME_FOR cluster 0.023
TIME_FOR _prepare_new_doc 2.134
TIME_FOR classify 2.159
TIME_FOR classify_svm 0.055
TIME_FOR process 5.823
TIME_FOR ********** TIMES **********
TIME_FOR proc 8
TIME_FOR item 10
TIME_FOR parse 4.088
TIME_FOR distance 0.038
TIME_FOR cluster 0.02
TIME_FOR _prepare_new_doc 2.192
TIME_FOR classify 2.223
TIME_FOR classify_svm 0.056
TIME_FOR process 6.429
